Sample,Family_ID,Population,Population_Description,Gender,Relationship,Unexpected_Parent_Child,Non_Paternity,Siblings,Grandparents,Avuncular,Half_Siblings,Unknown_Second_Order,Third_Order,In_Low_Coverage_Pilot,LC_Pilot_Platforms,LC_Pilot_Centers,In_High_Coverage_Pilot,HC_Pilot_Platforms,HC_Pilot_Centers,In_Exon_Targetted_Pilot,ET_Pilot_Platforms,ET_Pilot_Centers,Has_Sequence_in_Phase1,Phase1_LC_Platform,Phase1_LC_Centers,Phase1_E_Platform,Phase1_E_Centers,In_Phase1_Integrated_Variant_Set,Has_Phase1_chrY_SNPS,Has_phase1_chrY_Deletions,Has_phase1_chrMT_SNPs,Main_project_LC_Centers,Main_project_LC_platform,Total_LC_Sequence,LC_Non_Duplicated_Aligned_Coverage,Main_Project_E_Centers,Main_Project_E_Platform,Total_Exome_Sequence,X_Targets_Covered_to_20x_or_greater,VerifyBam_E_Omni_Free,VerifyBam_E_Affy_Free,VerifyBam_E_Omni_Chip,VerifyBam_E_Affy_Chip,VerifyBam_LC_Omni_Free,VerifyBam_LC_Affy_Free,VerifyBam_LC_Omni_Chip,VerifyBam_LC_Affy_Chip,LC_Indel_Ratio,E_Indel_Ratio,LC_Passed_QC,E_Passed_QC,In_Final_Phase_Variant_Calling,Has_Omni_Genotypes,Has_Axiom_Genotypes,Has_Affy_6_0_Genotypes,Has_Exome_LOF_Genotypes,EBV_Coverage,DNA_Source_from_Coriell,Has_Sequence_from_Blood_in_Index,Super_Population,Super_Population_Description
HG00096,HG00096,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,WUGSC,ILLUMINA,WUGSC,1.0,1.0,1.0,1.0,WUGSC,ILLUMINA,14714705600.0,4.94,WUGSC,ILLUMINA,9580861000.0,0.851972,0.00028,1e-05,0.00023999999999999998,,0.0007,1e-05,0.00026000000000000003,,0.82,0.79,1.0,1.0,1.0,1.0,,,1.0,20.31,,,EUR,European
HG00097,HG00097,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,BCM,ABI_SOLID,BCM,1.0,,,1.0,BCM,ILLUMINA,30285067857.0,10.26,BCM,ILLUMINA,5856213714.0,0.9087,0.00968,0.00793,0.009609999999999999,,0.00103,0.00015,0.00112,,0.91,1.11,1.0,1.0,1.0,1.0,,,1.0,169.49,,,EUR,European
HG00098,HG00098,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC,ILLUMINA,16332517200.0,,,,,,,,,,0.10294,0.02781,0.09577999999999999,,0.85,0.85,,,,1.0,,,1.0,,,,EUR,European
HG00099,HG00099,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,BCM,ABI_SOLID,BCM,1.0,,,1.0,BCM,ILLUMINA,25134554475.0,8.65,BCM,ILLUMINA,8125011458.0,0.8931389999999999,0.00893,0.00675,0.00909,,0.00172,0.00033,0.00159,,0.88,1.01,1.0,1.0,1.0,1.0,,,1.0,23.04,,,EUR,European
HG00100,HG00100,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ILLUMINA,BI,1.0,,,1.0,SC,ILLUMINA,42906753668.0,14.24,BI,ILLUMINA,15144863140.0,0.8762840000000001,,4e-05,0.0001,,0.0036899999999999997,0.0020800000000000003,0.00374,,0.97,0.93,1.0,1.0,1.0,1.0,,,1.0,116.22,,,EUR,European
HG00101,HG00101,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,MPIMG,ILLUMINA,WUGSC,1.0,1.0,,1.0,MPIMG,ILLUMINA,22115533074.0,7.55,WUGSC,ILLUMINA,11754108800.0,0.884655,0.00018999999999999998,,0.00018,,0.0017399999999999998,1e-05,0.0016300000000000002,,0.87,0.74,1.0,1.0,1.0,1.0,,,1.0,82.0,,,EUR,European
HG00102,HG00102,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,MPIMG,ILLUMINA,WUGSC,1.0,,,1.0,MPIMG,ILLUMINA,21621189887.0,7.42,WUGSC,ILLUMINA,9003406100.0,0.870541,0.00022999999999999998,,0.0002,,0.0016899999999999999,,0.0018,,0.87,0.75,1.0,1.0,1.0,1.0,,,1.0,73.16,,,EUR,European
HG00103,HG00103,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,WUGSC,ILLUMINA,WUGSC,1.0,1.0,1.0,1.0,WUGSC,ILLUMINA,16331033600.0,5.42,WUGSC,ILLUMINA,9145497300.0,0.8694069999999999,0.0002,0.00011999999999999999,1e-05,,0.00084,1e-05,0.00028,,0.86,0.74,1.0,1.0,1.0,1.0,,,1.0,69.35,,,EUR,European
HG00104,HG00104,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,BCM,ABI_SOLID,BCM,1.0,,,1.0,BCM,ILLUMINA,23765222634.0,8.06,,,,,,,,,0.00235,0.00033999999999999997,0.00236,,0.85,,1.0,,,1.0,,,1.0,61.86,,,EUR,European
HG00105,HG00105,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,,,ABI_SOLID,BCM,,,,,MPIMG,ILLUMINA,22262720677.0,7.64,BCM,ILLUMINA,5851507215.0,0.877757,0.01045,0.007909999999999999,0.01059,,0.0012699999999999999,1e-05,0.00141,,0.86,1.12,1.0,1.0,1.0,1.0,,,1.0,107.13,,,EUR,European
HG00106,HG00106,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,SC,ABI_SOLID,BCM,1.0,,,1.0,SC,ILLUMINA,24284331308.0,8.11,BCM,ILLUMINA,6640380441.0,0.9024690000000001,0.01124,0.00777,0.01123,,0.00072,1e-05,0.00067,,0.91,1.17,1.0,1.0,1.0,1.0,,,1.0,47.97,,,EUR,European
HG00107,HG00107,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,,,ILLUMINA,WUGSC,,,,,MPIMG,ILLUMINA,23778576248.0,8.15,WUGSC,ILLUMINA,9595593000.0,0.8601850000000001,0.0003,,0.00032,,0.00123,,0.00116,,0.86,0.77,1.0,1.0,1.0,1.0,,,1.0,154.99,,,EUR,European
HG00108,HG00108,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BGI,ILLUMINA,BGI,1.0,1.0,1.0,1.0,BGI,ILLUMINA,18029706240.0,4.93,BGI,ILLUMINA,11589740730.0,0.771884,0.0009,0.0008,0.001,,0.00074,,0.00095,,0.83,0.8,1.0,1.0,1.0,1.0,,,1.0,88.9,,,EUR,European
HG00109,HG00109,GBR,British in England and Scotland,male,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,BGI,ILLUMINA,BGI,1.0,1.0,,1.0,BGI,ILLUMINA,20735115700.0,6.96,BGI,ILLUMINA,11815122870.0,0.761624,0.00147,0.0009599999999999999,0.00148,,0.00045999999999999996,,0.00044,,0.81,0.83,1.0,1.0,1.0,1.0,,,1.0,250.06,,,EUR,European
HG00110,HG00110,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ABI_SOLID,BGI,ILLUMINA,BGI,1.0,,,1.0,BGI,ILLUMINA,30341518100.0,9.75,BGI,ILLUMINA,11386359000.0,0.772845,0.00099,0.00065,0.0010400000000000001,,0.00011999999999999999,1e-05,5.9999999999999995e-05,,0.82,0.82,1.0,1.0,1.0,1.0,,,1.0,194.04,,,EUR,European
HG00111,HG00111,GBR,British in England and Scotland,female,,,,,,,,,,,,,,,,,,,1.0,ILLUMINA,BGI,ILLUMINA,BGI,1.0,,,1.0,BGI,ILLUMINA,18946577468.0,5.2,BGI,ILLUMINA,9049185630.0,0.7747189999999999,0.0019,0.0011099999999999999,0.00183,,0.0002,,0.0001,,0.83,0.8,1.0,1.0,1.0,1.0,,,1.0,93.47,,,EUR,European
